Crime_Category,Nairobi_Percentage,National_Percentage,Perception_Gap
Burglary & House Breaking,47.6,58.7,-11.100000000000001
Stealing,53.3,64.5,-11.200000000000003
Possession of Illicit Brews,49.3,51.6,-2.3000000000000043
Possession of Narcotic Drugs,55.8,34.3,21.5
Assault Causing ABH,24.7,34.9,-10.2
Robbery (Inc. Mugging),36.4,26.6,9.799999999999997
Robbery with Violence,44.6,22.5,22.1
Rape,23.9,19.9,4.0
Gender-Based Violence,44.6,45.4,-0.7999999999999972
Being Drunk & Disorderly,48.2,49.1,-0.8999999999999986
Defilement,24.1,31.3,-7.199999999999999
