sub_county,population,crime_incidents,latitude,longitude
Westlands,221958,393,-1.2652136689820732,36.865506239619116
Dagoretti North,246867,541,-1.3525679339648005,36.767279101305036
Dagoretti South,231932,463,-1.26279282369577,36.825619045929784
Langata,359178,435,-1.3327161402100334,36.83307887821612
Kibra,219879,241,-1.3495917451223554,36.731759247547146
Roysambu,210268,326,-1.2081783140394666,36.95148369577408
Kasarani,307892,210,-1.2054988747080704,36.89703719054111
Ruaraka,154886,509,-1.2306564243013662,36.94305970363797
Embakasi South,237337,363,-1.3112617969322606,36.93055165811974
Embakasi North,187498,71,-1.3443724617589787,36.8474119940671
Embakasi Central,275203,302,-1.250522715758055,36.93812478580647
Embakasi East,291335,524,-1.289575601001664,36.704777900574534
Embakasi West,378167,108,-1.3404738824248355,36.73487520147736
Makadara,141090,560,-1.2807716943821967,36.69266364089495
Kamukunji,429365,525,-1.3544978366215652,36.77109249261371
Starehe,164820,239,-1.214508735667395,36.788829641113054
Mathare,362913,293,-1.3185952029439973,36.75597772889669
